comment_id,user,text,timestamp,likes,text_length,word_count,has_Python,has_AI,has_머신러닝,has_딥러닝,has_데이터,is_tech,sentiment,hour,date
1,user1,정말 유용한 기능이네요! Python 최고입니다,2024-01-01 00:00:00,15,26,5,True,False,False,False,False,True,긍정,0,2024-01-01
2,user2,이 코드 잘 안되는데 도움 좀 주세요,2024-01-01 01:00:00,3,20,7,False,False,False,False,False,False,부정,1,2024-01-01
3,user3,AI 기술 발전이 놀랍습니다. 머신러닝 공부하고 싶어요,2024-01-01 02:00:00,12,30,7,False,True,True,False,False,True,중립,2,2024-01-01
4,user4,별로예요... 다른 방법이 더 좋을 것 같아요,2024-01-01 03:00:00,2,25,7,False,False,False,False,False,False,중립,3,2024-01-01
5,user5,Python pandas 정말 편리하네요,2024-01-01 04:00:00,8,22,4,True,False,False,False,False,True,긍정,4,2024-01-01
6,user1,딥러닝 프레임워크 추천해주세요,2024-01-01 05:00:00,5,16,3,False,False,False,True,False,True,중립,5,2024-01-01
7,user2,데이터 전처리가 제일 어려워요 ㅠㅠ,2024-01-01 06:00:00,4,19,5,False,False,False,False,True,True,부정,6,2024-01-01
8,user6,좋은 정보 감사합니다! 많이 배웠어요,2024-01-01 07:00:00,10,20,5,False,False,False,False,False,False,긍정,7,2024-01-01
9,user7,코드 에러 발생... 왜 안되는지 모르겠네요,2024-01-01 08:00:00,1,24,6,False,False,False,False,False,False,부정,8,2024-01-01
10,user8,AI와 머신러닝의 차이가 뭔가요?,2024-01-01 09:00:00,6,18,4,False,True,True,False,False,True,중립,9,2024-01-01
