id,title,author,category,published_at,tags,content_length
1,인공지능 기술이 바꾸는 미래 산업 전망,김민수,기술,2024-01-15 09:30:00,"AI,산업,미래",1250
2,정부 새로운 경제 정책 발표 예정,이영희,경제,2024-01-15 10:15:00,"정책,경제,정부",980
3,올해 첫 한파 경보 전국 확대,박지훈,날씨,2024-01-15 11:00:00,"날씨,한파,겨울",750
4,삼성전자 신규 반도체 공장 건설 계획,최준호,기업,2024-01-15 12:30:00,"삼성,반도체,투자",1100
5,코로나19 재확산 우려 증가,정미경,건강,2024-01-15 13:45:00,"코로나,건강,방역",890
6,전기차 시장 성장세 지속,강동원,자동차,2024-01-15 14:20:00,"전기차,친환경,자동차",1350
7,K-팝 그룹 빌보드 차트 1위 달성,송예진,연예,2024-01-15 15:00:00,"K팝,음악,빌보드",620
8,주식시장 코스피 3000 돌파,김상현,경제,2024-01-15 15:30:00,"주식,코스피,투자",1050
9,대학 입시 제도 개편안 논의,이수진,교육,2024-01-15 16:15:00,"교육,입시,대학",920
10,스마트폰 신제품 출시 임박,박민준,기술,2024-01-16 08:00:00,"스마트폰,IT,신제품",780
11,부동산 규제 완화 정책 검토,최서연,경제,2024-01-16 09:30:00,"부동산,정책,규제",1180
12,프로야구 시즌 개막 준비,김태현,스포츠,2024-01-16 10:00:00,"야구,스포츠,시즌",560
13,의료 AI 진단 시스템 도입,이현우,건강,2024-01-16 11:30:00,"의료,AI,진단",1420
14,재생에너지 투자 확대 계획,정유진,환경,2024-01-16 12:00:00,"에너지,환경,투자",990
15,온라인 교육 플랫폼 성장,박소연,교육,2024-01-16 13:15:00,"교육,온라인,플랫폼",840
16,자율주행차 상용화 앞당겨진다,강민호,자동차,2024-01-16 14:00:00,"자율주행,자동차,기술",1280
17,영화 관객수 회복세 뚜렷,김지우,문화,2024-01-16 15:30:00,"영화,문화,관객",710
18,중소기업 지원 정책 확대,이준서,경제,2024-01-16 16:00:00,"중소기업,지원,정책",1030
19,기후변화 대응 국제 협력,최민지,환경,2024-01-17 08:30:00,"기후,환경,국제",1150
20,5G 네트워크 전국 확대,박지영,기술,2024-01-17 09:00:00,"5G,통신,네트워크",860
21,농산물 가격 안정화 대책,김서준,경제,2024-01-17 10:30:00,"농업,가격,대책",770
22,전국 미세먼지 농도 증가,이도윤,환경,2024-01-17 11:00:00,"미세먼지,환경,대기",920
23,스타트업 투자 유치 증가,정하윤,기업,2024-01-17 12:15:00,"스타트업,투자,창업",1090
24,관광 산업 회복 신호,강서진,경제,2024-01-17 13:00:00,"관광,산업,회복",680
25,블록체인 기술 활용 확대,최지호,기술,2024-01-17 14:30:00,"블록체인,기술,암호화폐",1380
26,지역 축제 성황리 개최,김민재,문화,2024-01-17 15:15:00,"축제,문화,지역",590
27,수출 실적 사상 최대치,이서윤,경제,2024-01-17 16:30:00,"수출,무역,경제",1210
28,신약 개발 성과 발표,박주원,건강,2024-01-18 08:00:00,"의약품,개발,건강",1040
29,도시 재생 사업 추진,정시우,사회,2024-01-18 09:15:00,"도시,재생,개발",890
30,인공지능 윤리 가이드라인 제정,김하은,기술,2024-01-18 10:00:00,"AI,윤리,규제",1320
31,전통시장 활성화 방안 모색,이준혁,경제,2024-01-18 11:30:00,"시장,전통,경제",750
32,사이버 보안 강화 대책,박서준,기술,2024-01-18 12:00:00,"보안,사이버,해킹",1160
33,청년 일자리 창출 정책,최유나,사회,2024-01-18 13:15:00,"청년,일자리,고용",970
34,메타버스 플랫폼 경쟁 심화,강지민,기술,2024-01-18 14:00:00,"메타버스,가상현실,플랫폼",1290
35,친환경 포장재 사용 증가,김도현,환경,2024-01-18 15:30:00,"환경,포장,친환경",810
36,금리 인상 가능성 논의,이민준,경제,2024-01-18 16:00:00,"금리,경제,통화",1080
37,우주 산업 투자 본격화,박지훈,기술,2024-01-19 08:30:00,"우주,산업,투자",1420
38,지방 소멸 위기 대응,정서연,사회,2024-01-19 09:00:00,"지방,인구,대책",860
39,바이오 산업 성장 가속화,김예준,기업,2024-01-19 10:15:00,"바이오,산업,성장",1190
40,디지털 화폐 도입 검토,이하린,경제,2024-01-19 11:00:00,"디지털,화폐,금융",1030
41,태양광 발전 시설 확충,최민서,환경,2024-01-19 12:30:00,"태양광,에너지,발전",940
42,공유경제 시장 확대,강준우,경제,2024-01-19 13:00:00,"공유,경제,플랫폼",770
43,로봇 기술 일상화 진행,박지후,기술,2024-01-19 14:15:00,"로봇,자동화,기술",1350
44,문화예술 지원 사업 확대,김서영,문화,2024-01-19 15:00:00,"문화,예술,지원",620
45,반도체 수급 불균형 해소,이동현,기업,2024-01-19 16:30:00,"반도체,수급,산업",1110
